day,threshold,low_carbon_count,low_carbon_pct
240,52.17,24,25.0
241,83.39750000000001,24,25.0
242,107.5625,24,25.0
243,61.4625,24,25.0
244,107.8825,24,25.0
245,85.0,24,25.0
246,71.525,23,23.96
247,74.86,23,23.96
248,71.48,24,25.0
249,103.3275,24,25.0
250,86.3475,24,25.0
251,75.0575,24,25.0
252,78.39500000000001,23,23.96
253,71.5625,25,26.04
254,50.4725,24,25.0
255,60.6275,24,25.0
256,73.89,24,25.0
257,50.81,25,26.04
258,69.9375,24,25.0
259,48.015,24,25.0
260,67.34,24,25.0
261,69.60000000000001,24,25.0
262,114.03999999999999,24,25.0
263,82.35249999999999,24,25.0
264,88.35,24,25.0
265,76.1,24,25.0
266,76.82249999999999,24,25.0
267,45.48,23,23.96
268,84.4975,23,23.96
269,57.8975,24,25.0
270,59.675,23,23.96
271,113.22749999999999,24,25.0
272,106.06,23,23.96
273,114.4575,24,25.0
274,125.87,24,25.0
275,56.8575,25,26.04
276,89.06,24,25.0
277,52.33,24,25.0
278,68.14,25,26.04
279,106.8325,24,25.0
280,97.2225,25,26.04
281,93.81,24,25.0
282,68.745,24,25.0
283,49.6725,24,25.0
284,110.835,24,25.0
285,81.8725,24,25.0
286,75.75,24,25.0
287,77.2225,24,25.0
288,91.71249999999999,24,25.0
289,97.4725,24,25.0
290,79.2325,24,25.0
291,77.29,23,23.96
292,69.9975,24,25.0
293,78.22500000000001,24,25.0
294,74.595,25,26.04
295,47.6075,23,23.96
296,91.25999999999999,24,25.0
297,72.46,23,23.96
298,75.1625,25,26.04
299,74.4075,25,26.04
300,83.4325,23,23.96
301,96.665,24,25.0
302,90.76,24,25.0
303,73.8725,24,25.0
304,60.6825,24,25.0
305,72.1075,24,25.0
306,89.265,24,25.0
307,53.2425,23,23.96
308,78.58,24,25.0
309,84.97,25,26.04
310,91.72500000000001,24,25.0
311,117.01,23,23.96
312,94.72,24,25.0
313,98.9525,24,25.0
314,101.76,24,25.0
315,75.8825,24,25.0
316,82.9275,24,25.0
317,87.51,25,26.04
318,110.99249999999999,24,25.0
319,107.735,24,25.0
320,103.705,24,25.0
321,66.785,24,25.0
