day,threshold,low_carbon_count,low_carbon_pct
240,367.96250000000003,24,25.0
241,423.13750000000005,24,25.0
242,473.0625,23,23.96
243,189.54749999999999,24,25.0
244,471.525,24,25.0
245,306.7025,24,25.0
246,396.905,23,23.96
247,403.41,24,25.0
248,368.105,24,25.0
249,458.91,24,25.0
250,440.90250000000003,24,25.0
251,91.72,24,25.0
252,293.64500000000004,24,25.0
253,363.54499999999996,23,23.96
254,310.1175,24,25.0
255,374.855,24,25.0
256,352.605,24,25.0
257,327.985,24,25.0
258,265.0525,24,25.0
259,343.76,24,25.0
260,383.27,24,25.0
261,393.1575,24,25.0
262,483.0125,24,25.0
263,418.33,24,25.0
264,318.585,24,25.0
265,408.685,24,25.0
266,421.4375,24,25.0
267,237.79999999999998,24,25.0
268,330.4775,24,25.0
269,172.7275,24,25.0
270,257.3725,24,25.0
271,478.145,24,25.0
272,472.45,25,26.04
273,484.1975,24,25.0
274,504.78749999999997,23,23.96
275,374.33,24,25.0
276,435.58,24,25.0
277,113.085,24,25.0
278,394.5325,23,23.96
279,475.1675,24,25.0
280,459.4275,24,25.0
281,455.40749999999997,23,23.96
282,375.2925,24,25.0
283,327.485,24,25.0
284,476.1825,23,23.96
285,418.02250000000004,24,25.0
286,397.63750000000005,24,25.0
287,361.845,24,25.0
288,439.015,24,25.0
289,450.74,26,27.08
290,360.645,24,25.0
291,409.105,23,23.96
292,328.90500000000003,24,25.0
293,383.8675,24,25.0
294,310.24,24,25.0
295,41.4825,24,25.0
296,450.9725,24,25.0
297,409.8275,24,25.0
298,375.23749999999995,23,23.96
299,383.22,24,25.0
300,421.51,23,23.96
301,289.2875,24,25.0
302,339.17,24,25.0
303,404.83,23,23.96
304,364.95,25,26.04
305,410.895,24,25.0
306,413.8725,24,25.0
307,369.70000000000005,24,25.0
308,258.2,24,25.0
309,250.96249999999998,24,25.0
310,441.3175,24,25.0
311,485.89,23,23.96
312,442.2175,24,25.0
313,459.83000000000004,24,25.0
314,455.815,24,25.0
315,231.3225,24,25.0
316,438.0775,24,25.0
317,429.53749999999997,24,25.0
318,481.63,24,25.0
319,474.8325,25,26.04
320,465.72249999999997,24,25.0
321,402.0025,23,23.96
322,125.17999999999999,25,26.04
323,336.725,24,25.0
324,288.0525,24,25.0
325,409.34999999999997,24,25.0
326,393.16999999999996,24,25.0
327,385.07000000000005,24,25.0
328,407.2825,24,25.0
329,406.3825,25,26.04
330,511.675,25,26.04
331,493.335,24,25.0
332,417.56,24,25.0
333,334.78499999999997,24,25.0
334,465.0175,24,25.0
335,463.815,23,23.96
336,434.195,24,25.0
337,423.455,24,25.0
338,470.16,24,25.0
339,472.97749999999996,23,23.96
340,437.57500000000005,23,23.96
341,415.5825,24,25.0
342,439.84749999999997,24,25.0
343,382.735,24,25.0
344,428.39,24,25.0
345,441.9125,25,26.04
346,315.0,24,25.0
347,178.6775,25,26.04
348,191.06,24,25.0
349,465.315,24,25.0
350,419.86,24,25.0
351,405.84,24,25.0
352,306.64750000000004,24,25.0
353,333.55,24,25.0
354,313.385,24,25.0
355,484.76,24,25.0
356,487.205,24,25.0
357,434.92499999999995,24,25.0
358,424.04,25,26.04
359,469.38,23,23.96
360,357.41,24,25.0
361,460.17,24,25.0
362,486.695,23,23.96
363,374.99,24,25.0
364,488.615,24,25.0
365,477.5025,23,23.96
