day,threshold,low_carbon_count,low_carbon_pct
1,342.60749999999996,24,25.0
2,331.06,24,25.0
3,339.075,24,25.0
4,201.02,24,25.0
5,313.77,24,25.0
6,234.45,24,25.0
7,301.8725,25,26.04
8,327.0375,24,25.0
9,226.3425,24,25.0
10,61.302499999999995,24,25.0
11,175.115,24,25.0
12,244.77,25,26.04
13,311.5475,24,25.0
14,166.4675,24,25.0
15,205.17000000000002,25,26.04
16,298.55499999999995,24,25.0
17,317.595,24,25.0
18,238.505,24,25.0
19,139.5225,24,25.0
20,214.2725,24,25.0
21,76.0625,24,25.0
22,143.78,24,25.0
23,269.905,24,25.0
24,297.81,24,25.0
25,315.7925,24,25.0
26,290.935,24,25.0
27,43.2925,23,23.96
28,56.3475,23,23.96
29,305.68,23,23.96
30,252.5,24,25.0
31,266.5225,24,25.0
32,221.07500000000002,24,25.0
33,75.25,24,25.0
34,227.20000000000002,24,25.0
35,79.1275,26,27.08
36,230.405,25,26.04
37,265.79499999999996,24,25.0
38,177.4925,24,25.0
39,278.0575,24,25.0
40,113.7975,24,25.0
41,198.1225,24,25.0
42,64.72749999999999,24,25.0
43,160.05,24,25.0
44,118.6475,23,23.96
45,93.0725,24,25.0
46,46.7125,24,25.0
47,147.2025,24,25.0
48,47.3925,23,23.96
49,108.745,24,25.0
50,272.655,25,26.04
51,206.83499999999998,25,26.04
52,106.55000000000001,24,25.0
53,246.6975,24,25.0
54,75.8925,24,25.0
55,93.98,24,25.0
56,95.5625,24,25.0
57,265.3275,24,25.0
58,322.36749999999995,24,25.0
59,197.5775,24,25.0
60,331.77750000000003,23,23.96
61,58.722500000000004,24,25.0
62,66.45750000000001,25,26.04
63,249.78500000000003,24,25.0
64,300.18,23,23.96
65,237.85250000000002,24,25.0
66,199.57,23,23.96
67,197.605,25,26.04
68,215.31,25,26.04
69,236.955,23,23.96
70,227.75,24,25.0
71,308.5625,23,23.96
72,233.6575,24,25.0
73,201.07,23,23.96
74,106.04,24,25.0
75,138.9375,23,23.96
76,290.2975,24,25.0
77,93.765,24,25.0
78,297.1825,24,25.0
79,264.015,24,25.0
80,214.695,24,25.0
81,144.7425,24,25.0
82,97.9975,24,25.0
83,220.06,24,25.0
84,74.9625,24,25.0
85,80.5275,23,23.96
86,99.86,25,26.04
