day,threshold,high_ratio_count,high_ratio_pct
223,1.629335,25,26.04
224,1.1160549999999998,24,25.0
225,0.313515,24,25.0
226,0.714415,25,26.04
227,0.5969075,23,23.96
228,0.3643175,24,25.0
229,0.6805424999999999,25,26.04
230,0.7264375,24,25.0
231,0.8521099999999999,24,25.0
232,0.8968475,24,25.0
233,1.1539175000000002,24,25.0
234,0.8864099999999999,24,25.0
235,0.464225,24,25.0
236,0.61794,23,23.96
237,0.720415,24,25.0
238,0.439415,24,25.0
239,1.03986,24,25.0
240,0.9514199999999999,24,25.0
241,0.6465275,24,25.0
242,0.37151999999999996,23,23.96
243,1.94247,24,25.0
244,0.379935,24,25.0
245,1.287545,24,25.0
246,0.7904450000000001,23,23.96
247,0.754945,24,25.0
248,0.9491799999999999,24,25.0
249,0.44887750000000004,24,25.0
250,0.55037,24,25.0
251,2.4784425,24,25.0
252,1.360035,24,25.0
253,0.9742774999999999,23,23.96
254,1.27068,24,25.0
255,0.9132425,24,25.0
256,1.03481,24,25.0
257,1.1762949999999999,24,25.0
258,1.519795,24,25.0
259,1.0887825,24,25.0
260,0.8656475,24,25.0
261,0.81109,24,25.0
262,0.3169575,24,25.0
263,0.67245,24,25.0
264,1.2219275,24,25.0
265,0.7264875000000001,24,25.0
266,0.65646,24,25.0
267,1.6741725,24,25.0
268,1.1564100000000002,24,25.0
269,2.0293975,24,25.0
270,1.567725,24,25.0
271,0.342865,24,25.0
272,0.3749625,25,26.04
273,0.31013250000000003,24,25.0
274,0.196115,23,23.96
275,0.91957,24,25.0
276,0.577435,24,25.0
277,2.35935,24,25.0
278,0.806345,23,23.96
279,0.360485,24,25.0
280,0.44799500000000003,24,25.0
281,0.47048749999999995,23,23.96
282,0.90952,24,25.0
283,1.177575,24,25.0
284,0.354765,23,23.96
285,0.67425,24,25.0
286,0.786415,24,25.0
287,0.9835825,24,25.0
288,0.5590525000000001,24,25.0
289,0.49432,26,27.08
290,0.9912624999999999,24,25.0
291,0.723545,23,23.96
292,1.1667399999999999,24,25.0
293,0.86232,24,25.0
294,1.2702075000000002,24,25.0
295,2.8631025,25,26.04
296,0.4934275,24,25.0
297,0.723225,24,25.0
298,0.9098674999999999,23,23.96
299,0.865855,24,25.0
300,0.65509,23,23.96
301,1.3833674999999999,24,25.0
302,1.1085325,24,25.0
303,0.746775,23,23.96
304,0.9667074999999999,25,26.04
305,0.7152025,24,25.0
306,0.6977725,24,25.0
307,0.94426,24,25.0
308,1.560155,24,25.0
309,1.5966575,24,25.0
310,0.5464975,24,25.0
311,0.30025,23,23.96
312,0.5408225,24,25.0
313,0.444435,24,25.0
314,0.46590750000000003,24,25.0
315,1.7118325,24,25.0
316,0.5657725,24,25.0
317,0.6140325,24,25.0
318,0.32367250000000003,24,25.0
319,0.3631075,25,26.04
320,0.4129425,24,25.0
321,0.7649225000000001,23,23.96
322,2.3002599999999997,25,26.04
323,1.1282775,24,25.0
324,1.391275,24,25.0
325,0.7218875,24,25.0
326,0.81119,24,25.0
327,0.856565,24,25.0
328,0.7334675,24,25.0
329,0.7386625,25,26.04
330,0.1581775,25,26.04
331,0.2592575,24,25.0
332,0.67843,24,25.0
333,1.1338825,24,25.0
334,0.415875,24,25.0
335,0.42181250000000003,23,23.96
336,0.587555,24,25.0
337,0.6449725000000001,24,25.0
338,0.3868725,24,25.0
339,0.37172499999999997,23,23.96
340,0.5677375,23,23.96
341,0.6892874999999999,24,25.0
342,0.553855,24,25.0
343,0.868505,24,25.0
344,0.6170125,24,25.0
345,0.542915,25,26.04
346,1.2445650000000001,24,25.0
347,2.0030449999999997,25,26.04
348,1.9334,24,25.0
349,0.4153025,24,25.0
350,0.6648425,24,25.0
