1,0.00000 
2,0.00000 
3,0.00000 
4,0.00000 
5,0.00365 
6,0.00559 
7,0.00311 
8,0.00053 
9,0.00000 
10,0.00000 
11,0.00000 
12,0.00000 
13,0.00000 
14,0.00000 
15,0.00000 
16,0.00000 
17,0.00000 
18,0.00010 
19,0.00010 
20,0.00009 
21,0.00009 
22,0.00076 
23,0.00205 
24,0.00329 
25,0.00450 
26,0.00403 
27,0.00194 
28,0.00000 
29,0.00000 
30,0.00323 
31,0.01183 
32,0.02211 
33,0.03242 
34,0.04452 
35,0.05841 
36,0.05874 
37,0.04633 
38,0.03880 
39,0.04693 
40,0.07547 
41,0.12254 
42,0.14021 
43,0.12521 
44,0.11095 
45,0.10174 
46,0.10376 
47,0.11422 
48,0.10616 
49,0.08033 
50,0.05640 
51,0.04968 
52,0.05736 
53,0.06995 
54,0.08186 
55,0.08729 
56,0.09580 
57,0.10707 
58,0.11137 
59,0.10821 
60,0.09549 
61,0.07699 
62,0.07345 
63,0.09513 
64,0.12351 
65,0.16133 
66,0.16771 
67,0.13807 
68,0.11187 
69,0.08314 
70,0.07112 
71,0.07494 
72,0.07884 
73,0.08244 
74,0.07611 
75,0.05967 
76,0.04749 
77,0.03689 
78,0.03161 
79,0.03177 
80,0.03193 
81,0.03209 
82,0.03391 
83,0.03733 
84,0.04071 
85,0.04423 
86,0.03902 
87,0.02469 
88,0.01034 
89,0.00730 
90,0.00471 
91,0.00260 
92,0.00044 
93,0.00000 
94,0.00000 
95,0.00000 
96,0.00000 
97,0.00000 
98,0.00000 
99,0.00000 
100,0.00000 
101,0.00000 
102,0.00000 
103,0.00505 
104,0.01077 
105,0.02968 
106,0.05538 
107,0.08067 
108,0.11872 
109,0.15705 
110,0.17022 
111,0.15710 
112,0.14440 
113,0.13103 
114,0.13678 
115,0.16073 
116,0.18520 
117,0.21863 
118,0.21791 
119,0.18274 
120,0.15702 
121,0.13184 
122,0.12553 
123,0.13752 
124,0.14928 
125,0.16082 
126,0.14646 
127,0.10753 
128,0.08299 
129,0.06416 
130,0.05946 
131,0.05117 
132,0.05269 
133,0.06232 
134,0.06733 
135,0.06828 
136,0.06703 
137,0.06367 
138,0.06012 
139,0.05654 
140,0.06260 
141,0.07791 
142,0.08782 
143,0.09375 
144,0.09739 
145,0.09419 
146,0.09693 
147,0.10550 
148,0.11747 
149,0.12267 
150,0.12913 
151,0.13668 
152,0.13162 
153,0.11631 
154,0.07936 
155,0.04738 
156,0.03525 
157,0.03033 
158,0.04008 
159,0.05688 
160,0.06374 
161,0.06092 
162,0.05202 
163,0.03737 
164,0.02593 
165,0.01711 
166,0.01561 
167,0.02041 
168,0.02522 
169,0.03016 
170,0.02475 
171,0.00975 
172,0.00645 
173,0.00310 
174,0.00058 
175,0.00000 
176,0.00000 
177,0.00000 
178,0.00000 
179,0.00000 
180,0.00000 
181,0.00000 
182,0.00000 
183,0.00000 
184,0.00000 
185,0.00000 
186,0.00000 
187,0.00000 
188,0.00000 
189,0.00000 
190,0.00000 
191,0.00000 
192,0.00000 
193,0.00000 
194,0.00000 
195,0.00000 
196,0.00000 
197,0.00000 
198,0.00000 
199,0.00000 
200,0.00000 
201,0.00000 
202,0.00000 
203,0.00000 
204,0.00000 
205,0.00000 
206,0.00000 
207,0.00000 
208,0.00000 
209,0.00000 
210,0.00000 
211,0.00000 
212,0.00000 
213,0.00000 
214,0.00000 
215,0.00000 
216,0.00000 
217,0.00000 
218,0.00000 
219,0.00000 
220,0.00000 
221,0.00000 
222,0.00166 
223,0.00516 
224,0.00864 
225,0.01211 
226,0.02278 
227,0.04032 
228,0.04451 
229,0.03645 
230,0.02695 
231,0.01617 
232,0.02463 
233,0.05211 
234,0.07964 
235,0.10705 
236,0.11368 
237,0.10027 
238,0.09365 
239,0.09080 
240,0.08798 
241,0.08474 
242,0.08466 
243,0.08766 
244,0.08277 
245,0.06973 
246,0.05436 
247,0.03661 
248,0.03170 
249,0.03980 
250,0.04704 
251,0.05438 
252,0.05278 
253,0.04146 
254,0.03173 
255,0.02364 
256,0.01853 
257,0.01640 
258,0.01583 
259,0.01682 
260,0.02052 
261,0.03609 
262,0.05686 
263,0.09564 
264,0.13719 
265,0.19123 
266,0.21622 
267,0.21060 
268,0.20492 
269,0.19918 
270,0.17839 
271,0.14130 
272,0.11250 
273,0.08512 
274,0.07137 
275,0.07175 
276,0.07214 
277,0.07234 
278,0.07801 
279,0.08881 
280,0.09993 
281,0.11088 
282,0.11419 
283,0.10974 
284,0.10522 
285,0.10033 
286,0.09956 
287,0.10250 
288,0.10563 
289,0.10895 
290,0.10798 
291,0.10217 
292,0.09632 
293,0.09041 
294,0.08763 
295,0.08859 
296,0.08957 
297,0.09057 
298,0.09822 
299,0.11276 
300,0.12719 
301,0.14234 
302,0.15900 
303,0.17705 
304,0.19842 
305,0.22314 
306,0.25916 
307,0.30719 
308,0.37705 
309,0.46403 
