day,threshold,high_ratio_count,high_ratio_pct
223,0.5839975,25,26.04
224,0.40849250000000004,24,25.0
225,0.111985,23,23.96
226,0.2594125,25,26.04
227,0.2176625,23,23.96
228,0.1308225,24,25.0
229,0.24668,24,25.0
230,0.2699225,24,25.0
231,0.31552250000000004,24,25.0
232,0.33126500000000003,24,25.0
233,0.425705,24,25.0
234,0.32809499999999997,23,23.96
235,0.16950749999999998,24,25.0
236,0.2285575,23,23.96
237,0.26775499999999997,24,25.0
238,0.16150750000000003,24,25.0
239,0.37585999999999997,24,25.0
240,0.34440499999999996,24,25.0
241,0.2384975,24,25.0
242,0.135435,24,25.0
243,0.6936575,24,25.0
244,0.139565,24,25.0
245,0.4781025,24,25.0
246,0.29378000000000004,23,23.96
247,0.2796375,24,25.0
248,0.35260250000000004,24,25.0
249,0.1668125,24,25.0
250,0.2012475,24,25.0
251,0.9008375,25,26.04
252,0.5033875,24,25.0
253,0.36192250000000004,23,23.96
254,0.4671,24,25.0
255,0.33201250000000004,24,25.0
256,0.3837075,24,25.0
257,0.4191975,24,25.0
258,0.55626,24,25.0
259,0.388405,24,25.0
260,0.3215,24,25.0
261,0.30145500000000003,24,25.0
262,0.1152575,24,25.0
263,0.24978250000000002,24,25.0
264,0.454125,24,25.0
265,0.26637,23,23.96
266,0.240605,24,25.0
267,0.6172200000000001,24,25.0
268,0.4297975,24,25.0
269,0.7325824999999999,24,25.0
270,0.5575725,24,25.0
271,0.12743,24,25.0
272,0.13667,24,25.0
273,0.1134025,24,25.0
274,0.0728175,23,23.96
275,0.3278225,24,25.0
276,0.213025,24,25.0
277,0.8613999999999999,24,25.0
278,0.2914,23,23.96
279,0.13002249999999999,24,25.0
280,0.16013750000000002,24,25.0
281,0.1678825,23,23.96
282,0.33798500000000004,24,25.0
283,0.4239625,24,25.0
284,0.130695,23,23.96
285,0.2501925,24,25.0
286,0.292285,24,25.0
287,0.36555499999999996,24,25.0
288,0.2059725,24,25.0
289,0.18248499999999998,26,27.08
290,0.3653125,24,25.0
291,0.268015,23,23.96
292,0.42871000000000004,24,25.0
293,0.3203225,24,25.0
294,0.4653075,24,25.0
295,1.0204525,25,26.04
296,0.1804,24,25.0
297,0.2571775,24,25.0
298,0.3379725,23,23.96
299,0.32181,24,25.0
300,0.242885,23,23.96
301,0.5140775,24,25.0
302,0.41200749999999997,24,25.0
303,0.27753,23,23.96
304,0.3586475,25,26.04
305,0.26045999999999997,24,25.0
306,0.2569625,24,25.0
307,0.34163,24,25.0
308,0.563515,24,25.0
309,0.58707,24,25.0
310,0.200655,24,25.0
311,0.11144,23,23.96
312,0.200955,24,25.0
313,0.162955,24,25.0
314,0.17316,24,25.0
315,0.6094475,24,25.0
316,0.2039325,24,25.0
317,0.2182075,24,25.0
318,0.12010499999999999,24,25.0
319,0.1315175,24,25.0
320,0.15061249999999998,24,25.0
321,0.276785,23,23.96
322,0.8173575000000001,25,26.04
323,0.400915,24,25.0
324,0.5136875,24,25.0
325,0.268305,24,25.0
326,0.301215,24,25.0
327,0.3156425,24,25.0
328,0.27207749999999997,24,25.0
329,0.26909500000000003,24,25.0
330,0.058789999999999995,25,26.04
331,0.0961875,24,25.0
332,0.246955,24,25.0
333,0.41791,24,25.0
334,0.1526675,24,25.0
335,0.1567625,23,23.96
336,0.21015499999999998,24,25.0
337,0.23711749999999998,24,25.0
338,0.143785,24,25.0
339,0.13598749999999998,23,23.96
340,0.20661000000000002,22,22.92
341,0.2510275,24,25.0
342,0.2058475,24,25.0
343,0.32279749999999996,24,25.0
344,0.22930499999999998,24,25.0
345,0.2004925,25,26.04
346,0.454345,24,25.0
347,0.7265825,25,26.04
348,0.6921025000000001,24,25.0
349,0.148035,24,25.0
350,0.24348750000000002,24,25.0
351,0.269945,24,25.0
352,0.4734025,23,23.96
353,0.423315,24,25.0
354,0.4624375,24,25.0
355,0.1138875,24,25.0
356,0.1084175,24,25.0
357,0.215415,24,25.0
358,0.23819,25,26.04
359,0.1425525,23,23.96
360,0.3746075,24,25.0
361,0.163045,24,25.0
362,0.105835,23,23.96
363,0.3267325,24,25.0
364,0.102755,24,25.0
365,0.12739250000000002,23,23.96
