day,P25_threshold,low_net_load_count,low_net_load_pct
1,30334.787,23,23.96
2,28557.34225,24,25.0
3,29425.0,24,25.0
4,7474.862,24,25.0
5,23474.565,24,25.0
6,11887.0295,24,25.0
7,25223.692,25,26.04
8,28262.84625,24,25.0
9,12148.90425,24,25.0
10,0.0,23,23.96
11,4850.77975,24,25.0
12,15396.9725,24,25.0
13,24044.7915,24,25.0
14,1564.7595000000001,24,25.0
15,8953.92125,25,26.04
16,25004.19475,24,25.0
17,26873.3795,24,25.0
18,15480.68425,24,25.0
19,0.0,24,25.0
20,10426.9225,24,25.0
21,0.0,24,25.0
22,0.0,24,25.0
23,17825.614999999998,24,25.0
24,23049.66825,24,25.0
25,26154.55475,24,25.0
26,22154.435,26,27.08
27,0.0,24,25.0
28,0.0,24,25.0
29,20209.559,24,25.0
30,13873.93425,24,25.0
31,14175.896499999999,23,23.96
32,9750.158,24,25.0
33,0.0,24,25.0
34,8828.99825,24,25.0
35,0.0,24,25.0
36,8960.890500000001,24,25.0
37,11443.13975,24,25.0
38,2597.82925,24,25.0
39,15313.271999999999,23,23.96
40,0.0,24,25.0
41,5931.61325,24,25.0
42,0.0,23,23.96
43,1307.908,24,25.0
44,0.0,24,25.0
45,0.0,24,25.0
46,0.0,24,25.0
47,0.0,25,26.04
48,0.0,24,25.0
49,0.0,24,25.0
50,17311.05225,24,25.0
51,9365.82575,25,26.04
52,0.0,24,25.0
53,16177.462000000001,23,23.96
54,0.0,24,25.0
55,0.0,23,23.96
56,0.0,24,25.0
57,17164.6895,24,25.0
58,26780.5645,23,23.96
59,6671.93,24,25.0
60,26271.70825,23,23.96
61,0.0,24,25.0
62,0.0,24,25.0
63,13818.447,24,25.0
64,23443.2895,24,25.0
65,14788.971000000001,24,25.0
66,7599.36525,23,23.96
67,7370.952,25,26.04
68,8963.8675,25,26.04
69,12559.62875,23,23.96
70,9963.10925,23,23.96
71,22829.9585,24,25.0
72,12032.28325,24,25.0
73,7664.560750000001,24,25.0
74,0.0,24,25.0
75,0.0,25,26.04
76,18120.932249999998,24,25.0
77,0.0,24,25.0
78,21290.38325,24,25.0
79,15200.32575,24,25.0
80,9253.0745,23,23.96
81,0.0,24,25.0
82,0.0,24,25.0
83,9459.53475,24,25.0
84,0.0,24,25.0
85,0.0,24,25.0
86,0.0,24,25.0
87,0.0,24,25.0
88,1416.06525,24,25.0
89,0.0,24,25.0
90,0.0,24,25.0
91,0.0,24,25.0
92,0.0,24,25.0
93,20921.46475,24,25.0
94,24700.0,24,25.0
95,15505.69375,24,25.0
96,14652.13525,24,25.0
97,0.0,24,25.0
98,0.0,24,25.0
99,0.0,24,25.0
100,0.0,24,25.0
101,0.0,24,25.0
102,0.0,24,25.0
103,0.0,24,25.0
104,0.0,24,25.0
105,0.0,24,25.0
106,2026.59575,24,25.0
107,4391.4355,24,25.0
108,0.0,24,25.0
109,0.0,24,25.0
110,0.0,24,25.0
111,0.0,23,23.96
112,17281.6095,24,25.0
113,0.0,24,25.0
114,17161.07325,23,23.96
115,1837.182,23,23.96
116,0.0,24,25.0
117,1129.85975,23,23.96
118,0.0,24,25.0
119,18051.90925,24,25.0
120,13575.15175,24,25.0
121,9321.9825,24,25.0
122,0.0,24,25.0
123,0.0,24,25.0
124,243.33450000000002,24,25.0
125,1462.5674999999999,24,25.0
126,0.0,24,25.0
127,7119.563,23,23.96
128,12135.306999999999,23,23.96
129,1154.1745,24,25.0
130,8742.83275,24,25.0
131,0.0,24,25.0
132,15890.67625,23,23.96
133,0.0,24,25.0
134,0.0,24,25.0
135,0.0,24,25.0
136,0.0,24,25.0
137,0.0,24,25.0
138,0.0,24,25.0
139,1771.92975,24,25.0
140,12471.7225,24,25.0
141,14272.13475,24,25.0
142,0.0,23,23.96
143,0.0,24,25.0
144,0.0,24,25.0
145,0.0,24,25.0
146,0.0,24,25.0
147,8633.893250000001,23,23.96
148,11943.608,24,25.0
149,12354.48475,24,25.0
150,1245.5772499999998,24,25.0
151,4057.4134999999997,23,23.96
152,0.0,24,25.0
153,5567.732,25,26.04
154,4879.28175,22,22.92
155,0.0,24,25.0
156,0.0,24,25.0
157,17035.018500000002,24,25.0
158,17250.075500000003,24,25.0
159,8987.425,24,25.0
160,3930.8419999999996,24,25.0
161,0.0,24,25.0
162,0.0,24,25.0
163,13919.450499999999,24,25.0
164,14185.47675,24,25.0
165,5082.927,24,25.0
166,0.0,24,25.0
167,304.47075,24,25.0
168,13241.27375,24,25.0
169,0.0,24,25.0
170,0.0,24,25.0
171,8082.617,24,25.0
172,709.8875,24,25.0
173,20946.9055,24,25.0
174,2325.2264999999998,24,25.0
175,18009.25375,25,26.04
176,18390.181,24,25.0
177,9175.935,23,23.96
178,11315.851,24,25.0
179,0.0,25,26.04
180,0.0,24,25.0
181,0.0,24,25.0
182,0.0,24,25.0
183,0.0,24,25.0
184,0.0,24,25.0
185,4461.40325,24,25.0
186,0.0,24,25.0
187,0.0,24,25.0
188,0.0,24,25.0
189,5065.80875,24,25.0
190,0.0,24,25.0
191,5880.80725,24,25.0
192,3130.67375,24,25.0
193,17876.47725,25,26.04
194,0.0,24,25.0
195,0.0,24,25.0
196,1691.518,24,25.0
197,9473.316,24,25.0
198,120.12675000000002,24,25.0
199,23520.09325,23,23.96
200,6616.699500000001,24,25.0
201,4217.435,24,25.0
202,13907.89175,25,26.04
203,0.0,24,25.0
204,0.0,24,25.0
205,1960.77875,24,25.0
206,0.0,24,25.0
207,8769.1635,24,25.0
208,0.0,24,25.0
209,21997.82075,24,25.0
210,28441.675750000002,24,25.0
211,18206.2675,24,25.0
212,0.0,23,23.96
213,11495.1415,25,26.04
214,0.0,24,25.0
215,13950.347249999999,24,25.0
216,25143.5775,23,23.96
217,7988.44375,24,25.0
218,14908.30025,24,25.0
219,17529.16125,23,23.96
220,0.0,24,25.0
221,0.0,24,25.0
222,19110.5835,24,25.0
223,0.0,24,25.0
224,0.0,24,25.0
225,25985.820499999998,25,26.04
226,12200.95625,24,25.0
227,17523.81375,23,23.96
228,21791.649250000002,24,25.0
229,14181.18125,23,23.96
230,10556.258,24,25.0
231,6319.596500000001,24,25.0
232,3898.772,24,25.0
233,0.0,24,25.0
234,4568.50075,24,25.0
235,20678.605,25,26.04
236,14883.121500000001,24,25.0
237,11020.777250000001,24,25.0
238,22630.556,24,25.0
239,0.0,24,25.0
240,1872.131,24,25.0
241,14668.708999999999,25,26.04
242,20142.543,25,26.04
243,0.0,24,25.0
244,19237.28175,24,25.0
245,0.0,24,25.0
246,7313.426,23,23.96
247,8520.378999999999,24,25.0
248,1673.922,24,25.0
249,18433.8385,24,25.0
250,15632.570749999999,24,25.0
251,0.0,24,25.0
252,0.0,24,25.0
253,992.12175,23,23.96
254,0.0,24,25.0
255,3132.3585,24,25.0
256,0.0,24,25.0
257,0.0,24,25.0
258,0.0,24,25.0
259,0.0,24,25.0
260,4318.7032500000005,24,25.0
261,6871.69225,24,25.0
262,21992.03,24,25.0
263,10682.02125,24,25.0
264,0.0,24,25.0
265,8666.27475,23,23.96
266,9644.1305,24,25.0
267,0.0,24,25.0
268,0.0,24,25.0
269,0.0,24,25.0
270,0.0,24,25.0
271,22470.66925,24,25.0
272,20479.948500000002,22,22.92
273,21083.79625,24,25.0
274,24182.998,24,25.0
275,2414.6245,24,25.0
276,11630.66275,24,25.0
277,0.0,24,25.0
278,5699.038500000001,23,23.96
279,17966.36525,24,25.0
280,16155.47875,24,25.0
281,14849.43625,23,23.96
282,2660.51925,24,25.0
283,0.0,24,25.0
284,19929.051,23,23.96
285,10724.275,24,25.0
286,6231.2945,24,25.0
287,1029.18975,24,25.0
288,14467.700250000002,24,25.0
289,15776.61775,24,25.0
290,572.7105,24,25.0
291,8527.90425,24,25.0
292,0.0,24,25.0
293,3900.2,24,25.0
294,0.0,24,25.0
295,0.0,24,25.0
296,13108.92225,24,25.0
297,8595.28875,23,23.96
298,2428.82825,23,23.96
299,3855.14125,24,25.0
300,9563.86575,23,23.96
301,0.0,24,25.0
302,0.0,24,25.0
303,8034.92175,23,23.96
304,988.6275,25,26.04
305,8224.27525,24,25.0
306,9224.8585,24,25.0
307,1570.7807500000001,24,25.0
308,0.0,24,25.0
309,0.0,24,25.0
310,12756.98525,24,25.0
311,20900.01275,24,25.0
312,13113.28175,24,25.0
313,16467.02875,24,25.0
314,14861.7425,24,25.0
315,0.0,24,25.0
316,13437.47675,24,25.0
317,12353.990000000002,24,25.0
318,19999.449249999998,24,25.0
319,19100.87675,24,25.0
320,15601.5005,24,25.0
321,6942.1135,23,23.96
322,0.0,24,25.0
323,0.0,24,25.0
324,0.0,24,25.0
325,8318.40825,24,25.0
326,5401.305,24,25.0
327,4658.972250000001,24,25.0
328,7821.19975,24,25.0
329,8048.704,25,26.04
330,24490.09375,25,26.04
331,23743.726,24,25.0
332,11465.63425,24,25.0
333,0.0,24,25.0
334,19341.48775,24,25.0
335,18330.6165,23,23.96
336,13634.47075,24,25.0
337,12268.58325,24,25.0
338,20867.613,24,25.0
339,18690.6255,24,25.0
340,14392.55425,24,25.0
341,10967.295,24,25.0
342,14045.50775,24,25.0
343,4024.801,24,25.0
344,13630.65025,25,26.04
345,16107.903,25,26.04
346,0.0,24,25.0
347,0.0,24,25.0
348,0.0,24,25.0
349,17170.2765,24,25.0
350,10231.627250000001,24,25.0
351,8520.596000000001,24,25.0
352,0.0,24,25.0
353,0.0,24,25.0
354,0.0,24,25.0
355,23730.4265,24,25.0
356,22790.547000000002,24,25.0
357,13078.06175,24,25.0
358,12555.21175,24,25.0
359,19258.9625,24,25.0
360,37.107749999999996,24,25.0
361,17763.24175,24,25.0
362,22205.610999999997,24,25.0
363,2923.9735,24,25.0
364,21922.4695,23,23.96
365,19754.621,23,23.96
