day,P25_threshold,low_net_load_count,low_net_load_pct
232,15271.27325,23,23.96
233,9603.2395,24,25.0
234,16589.259000000002,24,25.0
235,26760.216,22,22.92
236,22713.444499999998,24,25.0
237,20497.184500000003,24,25.0
238,27328.703999999998,24,25.0
239,11237.20075,24,25.0
240,14155.6315,24,25.0
241,23465.521,24,25.0
242,24010.45225,23,23.96
243,0.0,24,25.0
244,22714.45375,23,23.96
245,4416.777,24,25.0
246,15668.07975,23,23.96
247,16658.44025,24,25.0
248,12142.84925,23,23.96
249,22603.61,24,25.0
250,22305.983,24,25.0
251,0.0,24,25.0
252,3007.826,24,25.0
253,12584.30475,24,25.0
254,6249.1025,24,25.0
255,13262.5085,24,25.0
256,11097.698,24,25.0
257,7246.36375,26,27.08
258,0.0,24,25.0
259,9410.16875,24,25.0
260,13643.62425,24,25.0
261,16804.30275,24,25.0
262,25193.492,24,25.0
263,18217.5555,24,25.0
264,6100.47025,24,25.0
265,15753.402750000001,24,25.0
266,16068.55425,24,25.0
267,0.0,24,25.0
268,7548.8225,24,25.0
269,0.0,24,25.0
270,0.0,24,25.0
271,25797.6515,23,23.96
272,24417.958000000002,23,23.96
273,23974.91,24,25.0
274,24791.1785,23,23.96
275,11618.082750000001,24,25.0
276,16157.42,24,25.0
277,0.0,24,25.0
278,13607.69275,23,23.96
279,21451.199500000002,25,26.04
280,20337.536500000002,25,26.04
281,18263.476749999998,24,25.0
282,11813.496000000001,24,25.0
283,6555.30525,24,25.0
284,23547.77975,24,25.0
285,18328.11175,24,25.0
286,13844.510999999999,24,25.0
287,9779.3055,24,25.0
288,20086.783750000002,24,25.0
289,20334.067750000002,24,25.0
290,10829.961,24,25.0
291,15442.384,25,26.04
292,6845.86575,24,25.0
293,12041.80025,24,25.0
294,4299.2445,24,25.0
295,0.0,24,25.0
296,17804.240250000003,24,25.0
297,16362.32375,23,23.96
298,11337.94175,24,25.0
299,11894.687249999999,24,25.0
300,15434.33075,23,23.96
301,2252.53475,24,25.0
302,7977.57175,24,25.0
303,16086.1085,24,25.0
304,10903.86575,24,25.0
305,15085.235,24,25.0
306,16198.901,24,25.0
307,10451.522,24,25.0
308,0.0,25,26.04
309,0.0,24,25.0
310,17046.32375,24,25.0
311,23386.1545,23,23.96
312,18300.521249999998,24,25.0
313,21076.03075,24,25.0
314,18990.93775,24,25.0
315,0.0,24,25.0
316,19274.98475,24,25.0
317,18510.61775,24,25.0
318,22994.1835,24,25.0
319,22737.9675,24,25.0
320,19262.510000000002,24,25.0
321,14469.7425,23,23.96
322,0.0,24,25.0
323,7285.504999999999,24,25.0
324,2336.8230000000003,24,25.0
325,15563.0245,23,23.96
326,13407.1855,24,25.0
327,13498.415500000001,24,25.0
328,14451.291000000001,24,25.0
329,15842.867,24,25.0
330,25047.4015,24,25.0
331,25164.2495,24,25.0
332,19413.494,24,25.0
333,8209.358,23,23.96
334,23032.611,24,25.0
335,21970.411,23,23.96
336,19372.219250000002,24,25.0
337,19904.931,24,25.0
338,24510.943,24,25.0
339,22352.609249999998,24,25.0
340,20093.37775,24,25.0
341,19061.53,24,25.0
342,19816.15,24,25.0
343,12846.1705,24,25.0
344,20998.001,24,25.0
345,22464.668749999997,24,25.0
346,5729.45025,24,25.0
347,0.0,24,25.0
348,0.0,23,23.96
349,21603.267499999998,24,25.0
350,17675.542,24,25.0
351,16051.41425,24,25.0
352,3920.4725,24,25.0
353,9203.24725,24,25.0
354,6335.59925,24,25.0
355,27000.15475,24,25.0
356,25316.1885,23,23.96
357,19988.2615,24,25.0
358,20478.47475,24,25.0
359,24054.3835,24,25.0
360,11918.810249999999,24,25.0
361,21725.4695,24,25.0
362,25689.835499999997,23,23.96
363,13532.64875,24,25.0
364,24607.39075,24,25.0
365,23256.465500000002,25,26.04
